name,locations,text_tokens
วัดมหาธาตุยุวราชรังสฤษฎิ์,location,วัด มหาธาตุ ยุวราช รัง สฤษฎิ์
วัดพระเชตุพนวิมลมังคลาราม,location,วัด พระ เช ตุ พน วิมล มัง คลา ราม
วัดทิพย์วารีวิหาร,location,วัด ทิพย์ วารี วิหาร
วัดราชบุรณะ,location,วัด ราช บุรณะ
วัดสุทัศนเทพวราราม,location,วัด สุทัศนเทพวราราม
วัดเทพธิดาราม,location,วัด เทพธิดา ราม
วัดมหรรณพาราม,location,วัด มหรรณ พา ราม
วัดราชนัดดาราม,location,วัด ราช นัดดา ราม
วัดชนะสงคราม,location,วัด ชนะสงคราม
วัดปรินายก,location,วัด ปรินายก
วัดใหม่อมตรส,location,วัด ใหม่ อมต รส
วัดเอี่ยมวรนุช,location,วัด เอี่ยม วร นุช
วัดอินทรวิหาร,location,วัด อินทร วิหาร
วัดสังเวชวิศยาราม,location,วัด สังเวช วิ ศ ยา ราม
วัดสามพระยา,location,วัด สาม พระยา
วัดเบญจมบพิตรดุสิตวนาราม,location,วัด เบญจมบพิตรดุสิตวนาราม
วัดโบสถ์,location,วัด โบสถ์
วัดเทวราชกุญชร,location,วัด เทวราช กุญชร
วัดประสาทบุญญาวาส,location,วัด ประสาท บุญ ญา วา ส
วัดสุคันธาราม,location,วัด สุ คัน ธารา ม
วัดแก้วฟ้าจุฬามณี,location,วัด แก้ว ฟ้า จุฬามณี
วัดจอมสุดาราม,location,วัด จอม สุดา ราม
วัดจันทรสโมสร,location,วัด จันทร สโมสร
วัดธรรมาภิรตาราม,location,วัด ธรรมา ภิร ตา ราม
วัดน้อยนพคุณ,location,วัด น้อย นพคุณ
วัดประชาระบือธรรม,location,วัด ประชา ระบือ ธรรม
วัดสวัสดิ์วารีสีมาราม,location,วัด สวัสดิ์ วารี สีมา ราม
วัดใหม่ทองเสน,location,วัด ใหม่ ทอง เสน
วัดอัมพวัน,location,วัด อัมพวัน
วัดกระทุ่มราย,location,วัด กระทุ่ม ราย
วัดหนองจอก,location,วัด หนอง จอก
