1,บุคลากร,บุคคลากร
2,สังเกต,สังเกตุ
3,โอกาส,โอกาศ
4,รถยนต์,รถยนตร์
5,ภาพยนตร์,ภาพยนต์
6,ปรากฏ,ปรากฎ
7,มาตรฐาน,มาตราฐาน
8,สัมมนา,สัมนา
9,อนุญาต,อนุญาติ
10,โลกาภิวัตน์,โลกาภิวัฒน์
11,ศีรษะ,ศรีษะ
12,หลงใหล,หลงไหล
13,ลำไย,ลำใย
14,เลิกรา,เลิกลา
15,คุกกี้,คุ๊กกี้
16,ผูกพัน,ผูกพันธ์
17,กาลเทศะ,กาละเทศะ
18,กะเพรา,กระเพรา
19,แกงกะหรี่,แกงกระหรี่
20,ประณาม,ประนาม
21,ไต้ฝุ่น,ใต้ฝุ่น
22,สังสรรค์,สังสรร
23,น้ำมันก๊าด,น้ำมันก๊าซ
24,ฉะนั้น,ฉนั้น
25,คำนวณ,คำนวน
26,กะเทย,กระเทย
27,กฎหมาย,กฏหมาย
28,นะคะ,นะค่ะ
29,ทยอย,ทะยอย
30,ทะนุถนอม,ทะนุทะนอม
31,โพสต์รูป,โพสรูป
32,มุกตลก,มุขตลก
33,ลายเซ็น,ลายเซ็นต์
34,คลินิก,คลีนิก
35,ไอศกรีม,ไอศครีม
36,สำอาง,สำอางค์
37,เท่,เท่ห์
38,อีเมล,อีเมล์
39,เฟชบุ๊ก,เฟสบุค
40,ประจันหน้า,ประจัญหน้า
41,มงกุฎ,มงกุฏ
42,เกม,เกมส์
43,ฌาปนกิจ,ฌาปณกิจ
44,กลยุทธ์,กลยุทธ
45,คลิก,คลิ๊ก
46,โควตา,โควต้า
47,ดอกจัน,ดอกจันทร์
48,ข้าวเหนียวมูน,ข้าวเหนียวมูล
49,หมูหย็อง,หมูหยอง
50,ไซ้,ไซร้
51,จักจั่น,จั๊กจั่น
52,ฆาตกร,ฆาตรกร
53,จลาจล,จราจล
54,บำเหน็จ,บำเน็จ
55,เวนคืน,เวรคืน
56,อมรินทร์,อัมรินทร์
57,ขะมักเขม้น,ขมักเขม้น
58,ไข่มุก,ไข่มุข
59,เค้ก,เค๊ก
60,เจตจำนง,เจตจำนงค์
61,เซนติเมตร,เซ็นติเมตร
62,ฌาน,ฌาณ
63,ดอกไม้จันทน์,ดอกไม้จันทร์
64,ตำรับ,ตำหรับ
65,ไต้หวัน,ใต้หวัน
66,ไต้ฝุ่น,ใต้ฝุ่น
67,ถนนลาดยาง,ถนนราดยาง
68,ธนาณัติ,ธนาณัต
69,เบรก,เบรค
70,เบญจเพส,เบญจเพศ
71,ประณีต,ปราณีต
72,ไผท,ผไท
73,อัญชัน,อัญชัญ
74,เกียรติ,เกียรติ์
75,จาระบี,จารบี
76,แก๊ง,แก๊งค์
77,คทา,คฑา
78,ไตรยางศ์,ไตรยางค์
79,ทรงกลด,ทรงกรด
80,ทรราช,ทรราชย์
81,ทระนง,ทรนง
82,ทศกัณฐ์,ทศกัณฑ์
83,น้ำจัณฑ์,น้ำจัน
84,แท็กซี่,แท๊กซี่
85,นอต,น็อต
86,นัยน์ตา,นัยตา
87,โน้ต,โน๊ต
88,อิริยาบถ,อิริยาบท
89,อานิสงส์,อานิสงค์
90,เวทมนตร์,เวทย์มนตร์
91,สายสิญจน์,สายสิญจ์
92,สามเส้า,สามเศร้า
93,สาบสูญ,สาปสูญ
94,วิ่งเปี้ยว,วิ่งเปรี้ยว
95,ล็อกเกต,ล็อกเก็ต
96,ฟังก์ชัน,ฟังก์ชั่น
97,พิสมัย,พิศมัย
98,พิสดาร,พิศดาร
99,พุทธชาด,พุทธชาติ
100,ปิกนิก,ปิคนิค
